Title;Description;Role Segment;Key Responsibilities;Career Level Expectations
Application Security Support Senior Analyst;Provide the day-to-day support for security processes within the organization, ensuring that security processes and requirements are met.;Security;Train users and promote security awareness to ensure system security and to improve efficiency. Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs. Confer with users to discuss issues such as computer data access needs, security violations, and programming changes. Monitor current reports of computer viruses to determine when to update virus protection systems. Modify computer security files to incorporate new software, correct errors, or change individual access status. Coordinate implementation of computer system plan with personnel and outside vendors. Monitor use of data files and regulate access to safeguard information in computer files. Perform risk assessments and execute tests of data processing system to ensure functioning of data processing activities and security measures. Encrypt data transmissions and erect firewalls to conceal confidential information as it is being transmitted and to keep out tainted digital transfers. Document computer security and emergency measures policies, procedures, and tests. Participate in audits as required.;Requires analysis and solving of increasingly complex problems. Interaction is with peers within Accenture before updating supervisors.and Likely has some interaction with clients and/or Accenture management.Requires minimal instruction on daily work tasks and a moderate level of instruction on new assignments.Decisions impact own work and may impact the work of others.Individual contributor and/or oversees a small work effort and/or team.
Application Security Support Analyst;Provide the day-to-day support for security processes within the organization, ensuring that security processes and requirements are met.;Security;Train users and promote security awareness to ensure system security and to improve efficiency. Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs. Confer with users to discuss issues such as computer data access needs, security violations, and programming changes. Monitor current reports of computer viruses to determine when to update virus protection systems. Modify computer security files to incorporate new software, correct errors, or change individual access status. Coordinate implementation of computer system plan with personnel and outside vendors. Monitor use of data files and regulate access to safeguard information in computer files. Perform risk assessments and execute tests of data processing system to ensure functioning of data processing activities and security measures. Encrypt data transmissions and erect firewalls to conceal confidential information as it is being transmitted and to keep out tainted digital transfers. Document computer security and emergency measures policies, procedures, and tests. Participate in audits as required.;Requires analysis and solving of lower-complexity problems. Interaction is with peers within Accenture before updating supervisors.and Likely has limited exposure with clients and/or Accenture management.Requires moderate level of instruction on daily work tasks and detailed instructions on new assignments.Decisions impact own work and may impact the work of others.Individual contributor as a part of a team, with a focused scope of work.
Application Security Support Associate;Provide the day-to-day support for security processes within the organization, ensuring that security processes and requirements are met.;Security;Train users and promote security awareness to ensure system security and to improve efficiency. Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs. Confer with users to discuss issues such as computer data access needs, security violations, and programming changes. Monitor current reports of computer viruses to determine when to update virus protection systems. Modify computer security files to incorporate new software, correct errors, or change individual access status. Coordinate implementation of computer system plan with personnel and outside vendors. Monitor use of data files and regulate access to safeguard information in computer files. Perform risk assessments and execute tests of data processing system to ensure functioning of data processing activities and security measures. Encrypt data transmissions and erect firewalls to conceal confidential information as it is being transmitted and to keep out tainted digital transfers. Document computer security and emergency measures policies, procedures, and tests. Participate in audits as required.;Requires solving of routine problems, largely through precedent and referral to general guidelines. Interaction is within own team and direct supervisor.Requires detailed to moderate level of instruction on daily work tasks and detailed instruction on new assignments.Decisions impact own work.Individual contributor as a part of a team, with a predetermined, focused scope of work.
Application Security Support New Associate;Provide the day-to-day support for security processes within the organization, ensuring that security processes and requirements are met.;Security;Train users and promote security awareness to ensure system security and to improve efficiency. Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs. Confer with users to discuss issues such as computer data access needs, security violations, and programming changes. Monitor current reports of computer viruses to determine when to update virus protection systems. Modify computer security files to incorporate new software, correct errors, or change individual access status. Coordinate implementation of computer system plan with personnel and outside vendors. Monitor use of data files and regulate access to safeguard information in computer files. Perform risk assessments and execute tests of data processing system to ensure functioning of data processing activities and security measures. Encrypt data transmissions and erect firewalls to conceal confidential information as it is being transmitted and to keep out tainted digital transfers. Document computer security and emergency measures policies, procedures, and tests. Participate in audits as required.;Requires solving of routine problems, largely through precedent and referral to general guidelines. Interaction is within own team and direct supervisor.Requires detailed instructions on all tasks with close supervision.Decisions impact own work and are closely supervised.Individual contributor as a part of a team with a predetermined, narrow scope of work.
Application Services Account Executive Associate Director;They act as influencers and experts, building Accenture Application Services business across a client to drive high performance. They drive incremental sales on existing assigned accounts to include but not limited to testing, factory development, project control services or other Application Services businesses. They build and deepen relationships to expand work in new areas of the business helping their clients to see the possibility of the future through differentiated offerings and services.;Business & Technology Integration;Advice on business requirements and plan services. Identify business requirements, define service levels for new requests and ensure resolution of service performance issues. Manage supply and demand, service quality, change orders, and recovery plans. Ensure adoption and compliance with Accenture Delivery Methods in accordance with Accenture policies, including the creation and maintenance of the management plans (e.g., Business Continuity, etc.). Manage account planning and forecasting activitie.;Requires proactive identification, definition and solving of complex problems that have impact on the direction of the business or work effort, where analysis of situations requires an in-depth knowledge of Accenture. Requires development and execution of strategy to achieve key business objectives in area of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiation or influencing on critical matters.Wide latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a major and lasting impact on areas outside of own responsibility.Manages large complex teams and/or work efforts (if in an individual contributor role) at a client or within Accenture.
Application Services Account Executive Senior Manager;They act as influencers and experts, building Accenture Application Services business across a client to drive high performance. They drive incremental sales on existing assigned accounts to include but not limited to testing, factory development, project control services or other Application Services businesses. They build and deepen relationships to expand work in new areas of the business helping their clients to see the possibility of the future through differentiated offerings and services.;Business & Technology Integration;Develop new client relationships and expand existing ones to drive application services sales. Manage client expectations along with client management and technology account management teams. Support delivery account reviews for client and internal senior leadership. Drive incremental revenue growth through further expansion of footprint at client. (i.e. testing, factory development, project control services or other staff augmentation opportunities). Provide line of sight to GDN on behalf of the client, client business events and client objectives.;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Application Services Account Executive Manager;They act as influencers and experts, building Accenture Application Services business across a client to drive high performance. They drive incremental sales on existing assigned accounts to include but not limited to testing, factory development, project control services or other Application Services businesses. They build and deepen relationships to expand work in new areas of the business helping their clients to see the possibility of the future through differentiated offerings and services.;Business & Technology Integration;Develop new client relationships and expand existing ones to drive application services sales. Manage client expectations along with client management and technology account management teams. Support delivery account reviews for client and internal senior leadership. Drive incremental revenue growth through further expansion of footprint at client. (i.e. testing, factory development, project control services or other staff augmentation opportunities). Provide line of sight to GDN on behalf of the client, client business events and client objectives.;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Application Services Deal Execution Associate Director;Tenacious and eager, these professionals are responsible for contributing to the profitable sales growth of the Application Services business by achieving high deal quality. They are focused on complex deal shaping, negotiation or bid management. They work within a well-defined market/territory.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires proactive identification, definition and solving of complex problems that have impact on the direction of the business or work effort, where analysis of situations requires an in-depth knowledge of Accenture. Requires development and execution of strategy to achieve key business objectives in area of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiation or influencing on critical matters.Wide latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a major and lasting impact on areas outside of own responsibility.Manages large complex teams and/or work efforts (if in an individual contributor role) at a client or within Accenture.
Application Services Deal Execution Senior Manager;Tenacious and eager, these professionals are responsible for contributing to the profitable sales growth of the Application Services business by achieving high deal quality. They are focused on complex deal shaping, negotiation or bid management. They work within a well-defined market/territory.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Application Services Deal Execution Manager;Tenacious and eager, these professionals are responsible for contributing to the profitable sales growth of the Application Services business by achieving high deal quality. They are focused on complex deal shaping, negotiation or bid management. They work within a well-defined market/territory.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Application Services Deal Execution Associate Manager;Tenacious and eager, these professionals are responsible for contributing to the profitable sales growth of the Application Services business by achieving high deal quality. They are focused on complex deal shaping, negotiation or bid management. They work within a well-defined market/territory.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires analysis and solving of moderately complex problems. Typically creates new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor or team leads.and Generally interacts with peers and/or management levels at a client and/or within Accenture.Requires minimal guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside and occasionally impact other teams.Manages medium-small sized teams and/or work efforts at a client or within Accenture.
Application Services Delivery Associate Director;Efficient and effective leaders, they drive profitability and continued success though managing service quality, cost and leadership of the people delivering services across projects/ programs/portfolios of all scale. They accelerate Application Services capabilities and our end-to-end industrialization activity to provide high value, cost-effective solutions for our clients. They use their deep application services expertise to act as trusted advisor to our clients.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires proactive identification, definition and solving of complex problems that have impact on the direction of the business or work effort, where analysis of situations requires an in-depth knowledge of Accenture. Requires development and execution of strategy to achieve key business objectives in area of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiation or influencing on critical matters.Wide latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a major and lasting impact on areas outside of own responsibility.Manages large complex teams and/or work efforts (if in an individual contributor role) at a client or within Accenture.
Application Services Sales Senior Manager;Works closely with leadership to drive Application Services business. Manage the origination and or closing of sales opportunities. Achieve Net Revenue and CCI on sold work. Coordinate of sales efforts for Application Services across the Portfolio. Ensure profitable delivery and influence on the client strategy. Support the leading of big offerings and key accounts.;Sales;Manage the origination and or closing of sales opportunities within Application Services business. Coordinate of sales efforts for Application Services across the Portfolio. Influence the Client developing a go-to-market strategy on the Application Services Business. Collaborate with the key sales leaders to ensure efficient processes, operations and optimized costs to sell via all channels. Manage the origination and or closing of sales opportunities within Application Services business. Coordinate of sales efforts for Application Services across the Portfolio. Influence the Client developing a go-to-market strategy on the Application Services Business. Collaborate with the key sales leaders to ensure efficient processes, operations and optimized costs to sell via all channels.;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Application Services Sales Integration Associate Director;Driving sales they partner with OG leadership as a provider of choice through client relationships and influence. They provide industry best practices and thought leadership on Technology with Clients. Management of sales efforts for App Services across the Portfolio, accountability for job economics and BD effectiveness, and capability development. Joint OG sales, revenue and profitability targets for Application Services including application development, application maintenance and testing.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires proactive identification, definition and solving of complex problems that have impact on the direction of the business or work effort, where analysis of situations requires an in-depth knowledge of Accenture. Requires development and execution of strategy to achieve key business objectives in area of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiation or influencing on critical matters.Wide latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a major and lasting impact on areas outside of own responsibility.Manages large complex teams and/or work efforts (if in an individual contributor role) at a client or within Accenture.
Application Services Sales Integration Senior Manager;Driving sales they partner with OG leadership as a provider of choice through client relationships and influence. They provide industry best practices and thought leadership on Technology with Clients. Management of sales efforts for App Services across the Portfolio, accountability for job economics and BD effectiveness, and capability development. Joint OG sales, revenue and profitability targets for Application Services including application development, application maintenance and testing.;Business & Technology Integration;Understand and translate customer needs into business and technology solutions. Provide technology analysis and design services. Analyze as-is and to-be processes to define system/technology requirements. Drive functional/application designs and ensure technology solutions represent current and future business requirements. Capture user requirements, conduct user reviews and run. stakeholder agreement meetings.;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Application Support Manager;Acting as software detectives, they provide a dynamic service identifying and solving issues within multiple components of critical business systems. Dedicated to quality, they use their problem solving skills to keep our world class systems delivering value to our clients by maintaining custom and/or software application code. They work in challenging and dynamic environments. They also increase efficiency by optimizing work across one or more clients.;Software Engineering;Work with team members to gather and interpret user/system requirements into design specifications. Design and code applications to functional and technical programming standards. Develop system specifications and interfaces for complex components.;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Application Support Associate Manager;Acting as software detectives, they provide a dynamic service identifying and solving issues within multiple components of critical business systems. Dedicated to quality, they use their problem solving skills to keep our world class systems delivering value to our clients by maintaining custom and/or software application code. They work in challenging and dynamic environments. They also increase efficiency by optimizing work across one or more clients.;Software Engineering;Work with team members to gather and interpret user/system requirements into design specifications. Design and code applications to functional and technical programming standards. Develop system specifications and interfaces for complex components.;Requires analysis and solving of moderately complex problems. Typically creates new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor or team leads.and Generally interacts with peers and/or management levels at a client and/or within Accenture.Requires minimal guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside and occasionally impact other teams.Manages medium-small sized teams and/or work efforts at a client or within Accenture.
Application Support Specialist;Acting as software detectives, they provide a dynamic service identifying and solving issues within multiple components of critical business systems. Dedicated to quality, they use their problem solving skills to keep our world class systems delivering value to our clients by maintaining custom and/or software application code. They work in challenging and dynamic environments. They also increase efficiency by optimizing work across one or more clients.;Software Engineering;Work with team members to gather and interpret user/system requirements into design specifications. Design and code applications to functional and technical programming standards. Develop system specifications and interfaces for complex components.;Requires analysis and solving of moderately complex problems. May create new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.Requires guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside.Manages small teams and/or work efforts at a client or within Accenture.
Application Support Senior Analyst;Acting as software detectives, they provide a dynamic service identifying and solving issues within multiple components of critical business systems. Dedicated to quality, they use their problem solving skills to keep our world class systems delivering value to our clients by maintaining custom and/or software application code. They work in challenging and dynamic environments. They also increase efficiency by optimizing work across one or more clients.;Software Engineering;Work with team members to gather and interpret user/system requirements into design specifications. Design and code applications to functional and technical programming standards. Develop system specifications and interfaces for complex components.;Requires analysis and solving of increasingly complex problems. Interaction is with peers within Accenture before updating supervisors.and Likely has some interaction with clients and/or Accenture management.Requires minimal instruction on daily work tasks and a moderate level of instruction on new assignments.Decisions impact own work and may impact the work of others.Individual contributor and/or oversees a small work effort and/or team.
Application Support Analyst;Acting as software detectives, they provide a dynamic service identifying and solving issues within multiple components of critical business systems. Dedicated to quality, they use their problem solving skills to keep our world class systems delivering value to our clients by maintaining custom and/or software application code. They work in challenging and dynamic environments. They also increase efficiency by optimizing work across one or more clients.;Software Engineering;Work with team members to gather and interpret user/system requirements into design specifications. Design and code applications to functional and technical programming standards. Develop system specifications and interfaces for complex components.;Requires analysis and solving of lower-complexity problems. Interaction is with peers within Accenture before updating supervisors.and Likely has limited exposure with clients and/or Accenture management.Requires moderate level of instruction on daily work tasks and detailed instructions on new assignments.Decisions impact own work and may impact the work of others.Individual contributor as a part of a team, with a focused scope of work.
Application Support Associate;Acting as software detectives, they provide a dynamic service identifying and solving issues within multiple components of critical business systems. Dedicated to quality, they use their problem solving skills to keep our world class systems delivering value to our clients by maintaining custom and/or software application code. They work in challenging and dynamic environments. They also increase efficiency by optimizing work across one or more clients.;Software Engineering;Work with team members to gather and interpret user/system requirements into design specifications. Design and code applications to functional and technical programming standards. Develop system specifications and interfaces for complex components.;Requires solving of routine problems, largely through precedent and referral to general guidelines. Interaction is within own team and direct supervisor.Requires detailed to moderate level of instruction on daily work tasks and detailed instruction on new assignments.Decisions impact own work.Individual contributor as a part of a team, with a predetermined, focused scope of work.
Application Support New Associate;Acting as software detectives, they provide a dynamic service identifying and solving issues within multiple components of critical business systems. Dedicated to quality, they use their problem solving skills to keep our world class systems delivering value to our clients by maintaining custom and/or software application code. They work in challenging and dynamic environments. They also increase efficiency by optimizing work across one or more clients.;Software Engineering;Work with team members to gather and interpret user/system requirements into design specifications. Design and code applications to functional and technical programming standards. Develop system specifications and interfaces for complex components.;Requires solving of routine problems, largely through precedent and referral to general guidelines. Interaction is within own team and direct supervisor.Requires detailed instructions on all tasks with close supervision.Decisions impact own work and are closely supervised.Individual contributor as a part of a team with a predetermined, narrow scope of work.
Application Technical Architect Senior Manager;Provide technical expertise to set the technical direction and manage issues, architecture, technical integration and technical service levels for a group of technologies. Define and design technical requirements to support business requirements, participate in detailed design and code reviews, review system performance and consumption issues, review test plans, and provide technical guidance and support to others. Manage project(s) and project team(s). Develop process capabilities.;Technology Architecture;Understand client business needs and objectives participate with client or Product manager to define architecture requirements and strategy. Provide detailed definition on how the architecture will support the application(s). Conduct impact analyses of technical requirements on the system. Analyze, determine, and document technical requirements for project, work request or defect. Work with Application Architects in defining software/hardware requirements and in planning and delivering architecture. Build strong internal or external customer relationships and manage expectations at all levels, including customers/end users, and Account Delivery Team(s).;Requires identifying and assessing complex problems for area(s) of responsibility.  Creates solutions in situations in which analysis requires in-depth knowledge of organizational objectives. Requires involvement in setting strategic direction to establish near-term goals for area(s) of responsibility. Interaction is with senior management levels at a client and/or within Accenture, involving negotiating or influencing on significant matters.Latitude in decision-making and determination of objectives and approaches to critical assignments.Decisions have a lasting impact on area of responsibility with the potential to impact areas outside of own responsibility.Manages large teams and/or work efforts at a client or within Accenture.
Application Technical Architect Manager;Provide technical expertise to set the technical direction and manage issues, architecture, technical integration and technical service levels for a group of technologies. Define and design technical requirements to support business requirements, participate in detailed design and code reviews, review system performance and consumption issues, review test plans, and provide technical guidance and support to others. Manage project(s) and project team(s). Develop process capabilities.;Technology Architecture;Understand client business needs and objectives participate with client or Product manager to define architecture requirements and strategy. Provide detailed definition on how the architecture will support the application(s). Conduct impact analyses of technical requirements on the system. Analyze, determine, and document technical requirements for project, work request or defect. Work with Application Architects in defining software/hardware requirements and in planning and delivering architecture. Build strong internal or external customer relationships and manage expectations at all levels, including customers/end users, and Account Delivery Team(s).;Requires identifying and assessing complex problems for area of responsibility.  Creates solutions in situations in which analysis requires an in-depth evaluation of variable factors. Requires adherence to strategic direction set by senior management when establishing near-term goals. Interaction is with senior management at a client and/or within Accenture, involving matters that may require acceptance of an alternate approach.Some latitude in decision-making.  Acts independently to determine methods and procedures on new assignments.Decisions have a major day to day impact on area of responsibility.Manages large - medium sized teams and/or work efforts at a client or within Accenture.
Application Technical Architect Associate Manager;Provide technical expertise to set the technical direction and manage issues, architecture, technical integration and technical service levels for a group of technologies. Define and design technical requirements to support business requirements, participate in detailed design and code reviews, review system performance and consumption issues, review test plans, and provide technical guidance and support to others. Manage project(s) and project team(s). Develop process capabilities.;Technology Architecture;Understand client business needs and objectives participate with client or Product manager to define architecture requirements and strategy. Provide detailed definition on how the architecture will support the application(s). Conduct impact analyses of technical requirements on the system. Analyze, determine, and document technical requirements for project, work request or defect. Work with Application Architects in defining software/hardware requirements and in planning and delivering architecture. Build strong internal or external customer relationships and manage expectations at all levels, including customers/end users, and Account Delivery Team(s).;Requires analysis and solving of moderately complex problems. Typically creates new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor or team leads.and Generally interacts with peers and/or management levels at a client and/or within Accenture.Requires minimal guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside and occasionally impact other teams.Manages medium-small sized teams and/or work efforts at a client or within Accenture.
Application Technical Architect Specialist;Provide technical expertise to set the technical direction and manage issues, architecture, technical integration and technical service levels for a group of technologies. Define and design technical requirements to support business requirements, participate in detailed design and code reviews, review system performance and consumption issues, review test plans, and provide technical guidance and support to others. Manage project(s) and project team(s). Develop process capabilities.;Technology Architecture;Understand client business needs and objectives participate with client or Product manager to define architecture requirements and strategy. Provide detailed definition on how the architecture will support the application(s). Conduct impact analyses of technical requirements on the system. Analyze, determine, and document technical requirements for project, work request or defect. Work with Application Architects in defining software/hardware requirements and in planning and delivering architecture. Build strong internal or external customer relationships and manage expectations at all levels, including customers/end users, and Account Delivery Team(s).;Requires analysis and solving of moderately complex problems. May create new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.Requires guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside.Manages small teams and/or work efforts at a client or within Accenture.
Application Technical Support Associate Manager;Provide day-to-day support for one or more products or applications that are deployed to the production environment. Ensure the availability of an application or product for end users.;IT Operations;Provide and maintain application availability ensure the application is active and operating as defined in any Service Level Agreements monitor application in production environment, including periodically monitoring servers, applications, etc. manually and automatically. Provide outage resolution support and facilitate restoration of service to production environment investigate outage cause, impact on user, and resolution organize any conference call, meetings, etc. needed to facilitate the investigation and the subsequent restoration of service. Communicate status of application production outages and any error-resolution activities via periodic pages/e-mails/phone calls, etc. to application community during an outage. Maintain disaster recovery plans establish and practice disaster recovery procedures to ensure recovery capability properly organize and maintain data retention practices assist in administering the recovery of application(s).;Requires analysis and solving of moderately complex problems. Typically creates new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor or team leads.and Generally interacts with peers and/or management levels at a client and/or within Accenture.Requires minimal guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside and occasionally impact other teams.Manages medium-small sized teams and/or work efforts at a client or within Accenture.
Application Technical Support Specialist;Provide day-to-day support for one or more products or applications that are deployed to the production environment. Ensure the availability of an application or product for end users.;IT Operations;Provide and maintain application availability ensure the application is active and operating as defined in any Service Level Agreements monitor application in production environment, including periodically monitoring servers, applications, etc. manually and automatically. Provide outage resolution support and facilitate restoration of service to production environment investigate outage cause, impact on user, and resolution organize any conference call, meetings, etc. needed to facilitate the investigation and the subsequent restoration of service. Communicate status of application production outages and any error-resolution activities via periodic pages/e-mails/phone calls, etc. to application community during an outage. Maintain disaster recovery plans establish and practice disaster recovery procedures to ensure recovery capability properly organize and maintain data retention practices assist in administering the recovery of application(s).;Requires analysis and solving of moderately complex problems. May create new solutions, leveraging and, where needed, adapting existing methods and procedures. Requires understanding of the strategic direction set by senior management as it relates to team goals. Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within Accenture.Requires guidance when determining methods and procedures on new assignments.Decisions often impact the team in which they reside.Manages small teams and/or work efforts at a client or within Accenture.
